Date,Amount,Item,Category,Split,Not Me
2024-09-05,135,basketball-ground-opposite-i-dont-remember,utility,1,0
2024-09-05,50,sandwich,food,1,0
2024-09-05,240,anna-kuteera-dinner,utility,1,0
2024-09-06,200,petrol,travel,2,0
2024-09-06,30,magalore-stores,utility,1,0
2024-09-07,505,honey-rave,utility,1,0
2024-09-06,80,honey-chilli,food,2,0
2024-09-06,70,kulcha,food,1,0
2024-09-08,118,milk,utility,1,0
2024-09-08,65,dosa,food,2,0
2024-09-08,15,coffee,food,1,1
2024-09-08,20,vegetable,utility,1,0
2024-09-09,52,milk,utility,1,0
2024-09-09,60,cupcake,food,2,0
2024-09-09,50,sandwich,food,1,0
2024-09-09,100,screen-guard,utility,1,0
2024-09-09,60,toothbrush,utility,1,0
2024-09-10,20,vegetable,utility,1,0
2024-09-10,170,ironing,utility,1,0
2024-09-11,300,petrol,travel,2,0
2024-09-11,15,coffee,food,1,1
2024-09-11,54,milk,utility,1,0
2024-09-12,20,brownie,food,2,0
2024-09-12,50,sandwich,food,1,0
2024-09-12,75,milk,utility,1,0
2024-09-13,28,coughsil,utility,1,1
Refill,refill,refill,refill,refill,refill
2024-09-13,1000,dentist,utility,1,0
2024-09-13,91,grocery,utility,1,0
2024-09-13,160,stationery,utility,1,0
2024-09-14,82,rave,utility,1,0
2024-09-14,40,grocery,utility,1,0
2024-09-15,35,metro,travel,1,0
2024-09-15,190,movie,me,1,0
2024-09-15,350,sizzler,food,2,0
2024-09-15,1500,brindavan,utility,1,0
2024-09-15,78,milk,utility,1,0
2024-09-16,80,grocery,utility,1,0
2024-09-16,81,milk,utility,1,0
2024-09-17,52,grocery,utility,1,0
2024-09-18,200,petrol,travel,2,0
2024-09-18,30,maggie,food,1,0
2024-09-18,10,chocolate,food,2,0
2024-09-18,134,grocery,utility,1,0
2024-09-19,26,milk,utility,1,0
2024-09-20,104,milk,utility,1,0
2024-09-21,10,chocolate,utility,1,0
2024-09-22,80,dosa,food,2,0
2024-09-22,138,breakfast,utility,1,0
2024-09-23,200,petrol,travel,2,0
2024-09-23,70,chocolate,food,2,0
2024-09-24,91,milk,utility,1,0
2024-09-26,200,petrol,travel,2,0
2024-09-25,50,brownie,food,2,0
2024-11-13,15520,backlog,all,1,0
Refill,refill,refill,refill,refill,refill
2024-11-14,200,petrol-jupiter,travel,1,0
2024-11-15,60,dosa,food,2,0
2024-11-15,300,bowling,me,1,0
2024-11-18,104,milk,utility,1,0
2024-11-18,50,auto,travel,1,0
2024-11-18,50,dosa,food,2,0
2024-11-18,50,roti,food,2,0
2024-11-18,100,auto,travel,1,0
2024-11-18,54,auto,travel,1,0
2024-11-18,35,ice-cream,food,2,0
2024-11-19,120,paneer,utility,1,0
2024-11-19,30,chocolate,food,2,0
2024-11-19,50,dosa,food,2,0
2024-11-19,20,chocolate,food,2,0
2024-11-19,20,juice,food,2,0
2024-11-19,300,petrol-activa,travel,1,0
2024-11-19,46,ice-cream,food,2,0
2024-11-20,20,chocolate,food,2,0
2024-11-20,264,groceries-vidhyapeeta,utility,1,0
2024-11-20,33,stationery,utility,1,1
2024-11-21,20,chocolate,food,2,0
2024-11-21,50,chocolate,food,2,0
2024-11-22,70,dosa,food,2,0
2025-02-08,19458,all,all,1,0
Refill,refill,refill,refill,refill,refill
2025-02-09,170,breakfast,utility,1,0
2025-02-11,100,flowers,utility,1,0
2025-02-11,78,milk,utility,1,0
2025-02-11,60,ocean,food,2,0
2025-02-10,104,milk,utility,1,0
2025-02-12,200,petrol,travel,2,0
2025-02-12,184,groceries,utility,1,0
2025-02-12,75,groundnut,utility,1,0
2025-02-13,10,lays,food,2,0
2025-02-14,115,fr,food,1,0
2025-02-14,110,food,food,2,0
2025-02-14,104,milk,utility,1,0
2025-02-14,100,groceries,utility,1,0
2025-02-16,150,haircut,utility,1,0
2025-02-16,145,breakfast,utility,1,0
2025-02-16,640,food,food,2,0
2025-02-17,250,recharge,utility,1,0
2025-02-17,60,chocolate,food,2,0
2025-02-16,560,groceries,utility,1,0
2025-02-09,528,food,food,2,0
2025-02-17,250,recharge,utility,1,0
2025-02-18,30,food,food,2,0
2025-02-19,40,tea,food,2,0
2025-02-20,208,milk,utility,1,0
2025-02-21,40,food,food,2,0
2025-02-21,770,groceries,utility,1,0
2025-02-20,200,petrol,travel,2,0
2025-02-18,60,chocolates,food,2,0
2025-02-19,60,ocean,food,2,0
2025-03-01,968,all,all,1,0
Refill,refill,refill,refill,refill,refill
2025-03-16,5000,all,all,1,0
Refill,refill,refill,refill,refill,refill
2025-03-17,950,AT,me,1,0
2025-03-17,30,maggie,food,2,0
2025-03-17,20,juice,food,2,0
2025-03-16,144,milk,utility,1,0
2025-03-18,45,pani puri,food,2,0
2025-03-18,104,milk,utility,1,0
2025-03-18,100,petrol-jupyter,travel,1,0
2025-03-18,200,petrol-activa,travel,2,0
2025-03-19,20,chocolate,food,2,0
2025-03-19,70,mogu-mogu,food,2,0
2025-03-21,104,Milk,utility,1,0
2025-03-21,20,Chocolate ,food,2,0
2025-03-21,240,Food,food,2,0
2025-03-21,70,Mogu mogu,food,2,0
2025-03-21,200,Petrol,travel,2,0
2025-03-21,60,Icecream ,food,2,0
2025-03-22,320,grapes,utility,1,0
2025-03-23,150,haircut,utility,1,0
2025-03-24,182,breakfast,utility,1,0
2025-03-24,81,milk,utility,1,0
2025-03-24,20,Munch ,food,2,0
2025-03-24,20,Xerox ,utility,1,1
2025-03-24,36,Ice cream ,food,2,0
2025-03-24,70,Mogu mogu ,food,2,0
2025-03-25,105,food,food,2,0
2025-03-25,104,milk,utility,1,0
2025-03-26,60,Ice cream ,food,2,0
2025-03-26,90,food,food,2,0
2025-03-26,104,Milk,utility,1,0
2025-03-26,200,petrol,travel,2,0
2025-03-27,200,Screen ,utility,1,0
2025-03-27,104,Milk,utility,1,0
2025-03-27,126,food,food,2,0
2025-03-28,106,food,food,2,0
2025-03-28,104,Milk,utility,1,0
2025-03-30,170,food,food,2,0
2025-03-30,200,Petrol,travel,1,0
2025-03-30,40,Salt,utility,1,0
2025-04-02,104,milk,utility,1,0
2025-04-02,107,ocean,food,1,0
2025-03-26,140,iron,utility,1,0
2025-04-02,104,milk,utility,1,0
2025-04-02,139,Tamarind,utility,1,0
2025-04-02,97,toothpaste,utility,1,0
2025-04-02,20,water,food,2,0
2025-04-03,106,milk,utility,1,0
2025-04-04,650,at,food,1,0
2025-04-06,150,corn dog,food,2,0
2025-04-06,30,rasna,food,1,0
2025-04-06,42,gatorade,food,2,0
2025-04-07,160,sandwich,food,2,0
2025-04-07,60,ice cream,food,2,0
2025-04-07,80,milk,utility,1,0
Refill,refill,refill,refill,refill,refill
2025-04-08,200,petrol,travel,2,0
2025-04-08,40,ocean,food,2,0
2025-04-08,20,water,food,2,0
2025-04-08,80,milk,utility,1,0
2025-04-09,46,noodles,food,2,0
2025-04-09,70,dosa,food,2,0
2025-04-09,10,water,food,2,0
2025-04-10,90,food,food,2,0
2025-04-10,200,petrol,travel,2,0
2025-04-10,30,protein-bar,food,1,0
2025-04-10,132,milk,utility,1,0
2025-04-16,210,recharge,utility,1,0
2025-04-16,90,food,food,2,0
2025-04-16,200,petrol,travel,2,0
2025-04-16,113,milk,utility,1,0
2025-04-17,56,noodles,food,2,0
2025-04-17,106,milk,utility,1,0
2025-04-18,180,iron,utility,1,0
2025-04-19,106,milk,utility,1,0
2025-04-21,120,food,food,2,0
2025-04-21,200,petrol,travel,2,0
2025-04-18,300,petrol-jupiter,utility,1,0
2025-04-21,106,milk,utility,1,0
2025-04-22,40,food,food,2,0
2025-04-23,80,food,food,2,0
